Place,Latitude,Longitude,Population
Andaman And Nicobar,11.66702557,92.73598262,380581
Andhra Pradesh,14.7504291,78.57002559,84580777
Arunachal Pradesh,27.10039878,93.61660071,1383727
Assam,26.7499809,94.21666744,31205576
Bihar,25.78541445,87.4799727,104099452
Chandigarh,30.71999697,76.78000565,1055450
Chhattisgarh,22.09042035,82.15998734,25545198
Dadra and Nagar Haveli,20.26657819,73.0166178,586956
Delhi,28.6699929,77.23000403,16787941
Goa,15.491997,73.81800065,1458545
Haryana,28.45000633,77.01999101,25351462
Himachal Pradesh,31.10002545,77.16659704,6864602
Jammu And Kashmir,34.29995933,74.46665849,12541302
Jharkhand,23.80039349,86.41998572,32988134
Karnataka,12.57038129,76.91999711,61095297
Kerala,8.900372741,76.56999263,33406061
Lakshadweep,10.56257331,72.63686717,64473
Madhya Pradesh,21.30039105,76.13001949,72626809
Maharashtra,19.25023195,73.16017493,112374333
Manipur,24.79997072,93.95001705,2855794
Meghalaya,25.57049217,91.8800142,2966889
Mizoram,23.71039899,92.72001461,1097206
Nagaland,25.6669979,94.11657019,1978502
Orissa,19.82042971,85.90001746,41974218
Puducherry,11.93499371,79.83000037,1247953
Punjab,31.51997398,75.98000281,27743338
Rajasthan,26.44999921,74.63998124,68548437
Sikkim,27.3333303,88.6166475,610577
Tamil Nadu,12.92038576,79.15004187,72147030
Tripura,23.83540428,91.27999914,3673917
Uttar Pradesh,27.59998069,78.05000565,199812341
Uttaranchal,30.32040895,78.05000565,10086292
West Bengal,22.58039044,88.32994665,91276115
